city,country,citycode,admin_name,capital,population,rate 
Algiers,Algeria,16,Alger,primary,2947461,"8,12%"
Oran,Algeria,31,Oran,admin,1584607,"4,37%"
Constantine,Algeria,25,Constantine,admin,943112,"2,60%"
Blida,Algeria,9,Blida,admin,1009892,"2,78%"
Batna,Algeria,5,Batna,admin,1128030,"3,11%"
Sétif,Algeria,19,Sétif,admin,1496150,"4,12%"
Djelfa,Algeria,17,Djelfa,admin,1223223,"3,37%"
Annaba,Algeria,23,Annaba,admin,640050,"1,76%"
Sidi Bel Abbès,Algeria,22,Sidi Bel Abbès,admin,603369,"1,66%"
Biskra,Algeria,7,Biskra,admin,730262,"2,01%"
Tébessa,Algeria,12,Tébessa,admin,657227,"1,81%"
Tiaret,Algeria,14,Tiaret,admin,842060,"2,32%"
Bejaïa,Algeria,6,Bejaïa,admin,915835,"2,52%"
Tlemcen,Algeria,13,Tlemcen,admin,945525,"2,61%"
Bordj Bou Arreridj,Algeria,34,Bordj Bou Arréridj,admin,634396,"1,75%"
Béchar,Algeria,8,Béchar,admin,274866,"0,76%"
Skikda,Algeria,21,Skikda,admin,904195,"2,49%"
Souk Ahras,Algeria,41,Souk Ahras,admin,440299,"1,21%"
Chlef,Algeria,2,Chlef,admin,1013718,"2,79%"
M’Sila,Algeria,28,M’sila,admin,991846,"2,73%"
Mostaganem,Algeria,27,Mostaganem,admin,746947,"2,06%"
Médéa,Algeria,26,Médéa,admin,830943,"2,29%"
Tizi Ouzou,Algeria,15,Tizi Ouzou,admin,1119646,"3,09%"
El Oued,Algeria,39,El Oued,admin,673934,"1,86%"
Laghouat,Algeria,3,Laghouat,admin,477328,"1,32%"
Ouargla,Algeria,30,Ouargla,admin,552539,"1,52%"
Jijel,Algeria,18,Jijel,admin,634412,"1,75%"
Relizane,Algeria,48,Relizane,admin,733060,"2,02%"
Saïda,Algeria,20,Saïda,admin,328685,"0,91%"
Guelma,Algeria,24,Guelma,admin,482261,"1,33%"
Ghardaïa,Algeria,47,Ghardaïa,admin,375988,"1,04%"
Mascara,Algeria,29,Mascara,admin,780959,"2,15%"
Khenchela,Algeria,40,Khenchela,admin,384268,"1,06%"
Oum el Bouaghi,Algeria,4,Oum el Bouaghi,admin,644364,"1,78%"
El Bayadh,Algeria,32,El Bayadh,admin,262187,"0,72%"
Tamanrasset,Algeria,11,Tamanrasset,admin,198691,"0,55%"
Aïn Temouchent,Algeria,46,Aïn Temouchent,admin,384565,"1,06%"
Tissemsilt,Algeria,38,Tissemsilt,admin,296366,"0,82%"
Bouira,Algeria,10,Bouira,admin,694750,"1,91%"
Adrar,Algeria,1,Adrar,admin,439700,"1,21%"
Tindouf,Algeria,37,Tindouf,admin,159000,"0,44%"
Boumerdes,Algeria,35,Boumerdes,admin,795019,"2,19%"
El Menia,Algeria,50,El Menia,admin,57276,"0,16%"
Touggourt,Algeria,55,Touggourt,admin,247221,"0,68%"
Timimoun,Algeria,54,Timimoun,admin,122019,"0,34%"
I-n-Salah,Algeria,57,In Salah,admin,50392,"0,14%"
El Tarf,Algeria,36,El Tarf,admin,411783,"1,13%"
Tipaza,Algeria,42,Tipaza,admin,617661,"1,70%"
Illizi,Algeria,33,Illizi,admin,54490,"0,15%"
Bordj Mokhtar,Algeria,52,Bordj Badji Mokhtar,admin,634396,"1,75%"
Naama,Algeria,45,Naama,admin,209470,"0,58%"
Djanet,Algeria,56,Djanet,admin,17618,"0,05%"
Beni Abbès,Algeria,53,Béni Abbès,admin,50163,"0,14%"
In Guezzam,Algeria,58,In Guezzam,admin,11202,"0,03%"
Aïn Defla,Algeria,44,Aïn Defla,admin,771890,"2,13%"
Mila,Algeria,43,Mila,admin,768419,"2,12%"
Ouled Djellal,Algeria,51,Ouled Djellal,admin,174219,"0,48%"
El M'Ghair,Algeria,49,El M'Ghair,admin,162267,"0,45%"
,,,,,36282221,